run_time,horizon,max_depth,learning_rate,n_estimators,n_train,n_test,mae,rmse,mae_naive,edge_vs_naive_pct,direction_acc,clf_test_acc,reg_feature_importance,clf_feature_importance
2026-07-28T05:48:39.046412+00:00,15,3,0.1,150,568,103,67.90530483821055,84.98805244361169,61.077669902912625,-11.178610687262545,0.5631067961165048,0.5631067961165048,"{""volatility_15"": 0.10689300298690796, ""close_lag_2"": 0.10262800008058548, ""ema_21"": 0.09882699698209763, ""bb_upper"": 0.05812999978661537, ""macd_signal"": 0.057103998959064484, ""ema_9"": 0.05447600036859512, ""obv"": 0.050227001309394836, ""regime_rsi_14"": 0.04696900025010109, ""close_lag_1"": 0.04610700160264969, ""bb_mid"": 0.04220600053668022, ""bb_width"": 0.03521500155329704, ""bb_lower"": 0.03399699926376343, ""ema_50"": 0.03067599982023239, ""atr_14"": 0.024406999349594116, ""stoch_d"": 0.022982999682426453}","{""close_lag_1"": 0.07488899677991867, ""close_lag_2"": 0.07200899720191956, ""regime_rsi_14"": 0.061404999345541, ""obv"": 0.0583450011909008, ""ema_9"": 0.0563029982149601, ""regime_close_vs_ema50"": 0.047547001391649246, ""bb_lower"": 0.046480000019073486, ""vwap"": 0.04631099849939346, ""ema_50"": 0.04533600062131882, ""rsi_14"": 0.04308899864554405, ""atr_14"": 0.04162000119686127, ""stoch_d"": 0.039792001247406006, ""close_lag_3"": 0.033966001123189926, ""volatility_15"": 0.030432000756263733, ""ema_21"": 0.02795100025832653}"
2026-07-28T05:49:41.154482+00:00,5,5,0.03,400,586,105,39.359789314156004,50.503011968893524,34.645714285714384,-13.606517070382337,0.4380952380952381,0.45714285714285713,"{""macd"": 0.05606900155544281, ""bb_lower"": 0.051065001636743546, ""regime_rsi_14"": 0.049667999148368835, ""macd_signal"": 0.04858500137925148, ""atr_14"": 0.04600999876856804, ""ema_21"": 0.045614998787641525, ""bb_upper"": 0.044449999928474426, ""regime_close_vs_ema50"": 0.042010001838207245, ""bb_mid"": 0.04194200038909912, ""sma_20"": 0.04156799986958504, ""ema_50"": 0.0382779985666275, ""bb_width"": 0.03691700100898743, ""close_lag_1"": 0.035144999623298645, ""ema_9"": 0.03499700129032135, ""close_lag_2"": 0.032232001423835754}","{""bb_mid"": 0.07104700058698654, ""sma_20"": 0.061792001128196716, ""ema_21"": 0.058150000870227814, ""regime_close_vs_ema50"": 0.05394100025296211, ""vwap"": 0.04506000131368637, ""macd"": 0.04452100023627281, ""regime_rsi_14"": 0.043852001428604126, ""close_lag_2"": 0.03693800047039986, ""close_lag_10"": 0.03542200103402138, ""obv"": 0.034905001521110535, ""ema_9"": 0.033532001078128815, ""bb_upper"": 0.033034998923540115, ""close_lag_3"": 0.03227899968624115, ""close_lag_1"": 0.0319099985063076, ""ema_50"": 0.03166700154542923}"
2026-07-28T05:51:06.054960+00:00,15,3,0.1,150,568,103,65.46546755693475,80.3944461057181,61.77572815533989,-5.9727979123398205,0.6504854368932039,0.6116504854368932,"{""bb_upper"": 0.08595000207424164, ""close_lag_1"": 0.0687049999833107, ""volatility_15"": 0.06573300063610077, ""ema_21"": 0.06483899801969528, ""close_lag_3"": 0.06428500264883041, ""macd_signal"": 0.05971299856901169, ""stoch_d"": 0.052232999354600906, ""close_lag_5"": 0.04499699920415878, ""obv"": 0.04149400070309639, ""regime_rsi_14"": 0.0409340001642704, ""macd"": 0.040672000497579575, ""atr_14"": 0.037418000400066376, ""ema_9"": 0.036281000822782516, ""close_lag_2"": 0.030491000041365623, ""ema_50"": 0.02989800088107586}","{""regime_rsi_14"": 0.07058099657297134, ""close_lag_1"": 0.06557200103998184, ""ema_9"": 0.05881800130009651, ""obv"": 0.057429999113082886, ""bb_lower"": 0.051336001604795456, ""regime_close_vs_ema50"": 0.050988998264074326, ""close_lag_2"": 0.04751800000667572, ""close_lag_3"": 0.04741699993610382, ""atr_14"": 0.04395199939608574, ""vwap"": 0.042527999728918076, ""stoch_d"": 0.039893001317977905, ""bb_upper"": 0.03812900185585022, ""ema_50"": 0.033663999289274216, ""rsi_14"": 0.02985999919474125, ""ema_21"": 0.029472999274730682}"
2026-07-28T05:53:06.750390+00:00,15,5,0.03,400,568,103,66.7270314228186,80.78284339026722,62.43883495145628,-6.867835498045763,0.5048543689320388,0.5242718446601942,"{""volatility_15"": 0.07737699896097183, ""close_lag_1"": 0.07653500139713287, ""ema_21"": 0.06577300280332565, ""close_lag_2"": 0.05646299943327904, ""macd_signal"": 0.055973999202251434, ""close_lag_5"": 0.0492979995906353, ""ema_50"": 0.04840100184082985, ""regime_rsi_14"": 0.044544000178575516, ""macd"": 0.043623000383377075, ""obv"": 0.04311000183224678, ""close_lag_10"": 0.042319998145103455, ""stoch_d"": 0.039611998945474625, ""ema_9"": 0.035686999559402466, ""atr_14"": 0.03480599820613861, ""bb_upper"": 0.030341999605298042}","{""ema_9"": 0.06499700248241425, ""obv"": 0.05807400122284889, ""close_lag_1"": 0.05797800049185753, ""vwap"": 0.057434000074863434, ""regime_rsi_14"": 0.05199199914932251, ""close_lag_3"": 0.04704900085926056, ""bb_lower"": 0.04582599923014641, ""ema_50"": 0.045490000396966934, ""regime_close_vs_ema50"": 0.04547499865293503, ""close_lag_2"": 0.043411001563072205, ""rsi_14"": 0.035978998988866806, ""stoch_d"": 0.03373600170016289, ""atr_14"": 0.03196699917316437, ""ema_21"": 0.030946999788284302, ""close_lag_5"": 0.030094999819993973}"
2026-07-28T05:55:06.161128+00:00,15,3,0.05,200,568,103,68.36346167082885,83.16119592885119,62.49417475728164,-9.39173440779509,0.5436893203883495,0.5145631067961165,"{""volatility_15"": 0.0961500033736229, ""ema_21"": 0.0783419981598854, ""bb_lower"": 0.060026999562978745, ""bb_upper"": 0.05751800164580345, ""macd_signal"": 0.056954000145196915, ""ema_9"": 0.0502300001680851, ""close_lag_1"": 0.04719199985265732, ""macd"": 0.04370199888944626, ""regime_rsi_14"": 0.041797999292612076, ""stoch_d"": 0.03997499868273735, ""ema_50"": 0.039774999022483826, ""close_lag_3"": 0.03539599850773811, ""atr_14"": 0.034683000296354294, ""vwap"": 0.03347599878907204, ""obv"": 0.03219500184059143}","{""close_lag_3"": 0.0627250000834465, ""regime_rsi_14"": 0.058139000087976456, ""obv"": 0.05793699994683266, ""ema_9"": 0.05174199864268303, ""close_lag_1"": 0.049497999250888824, ""stoch_d"": 0.04656299948692322, ""atr_14"": 0.04586299881339073, ""regime_close_vs_ema50"": 0.040918998420238495, ""rsi_14"": 0.04024599865078926, ""close_lag_2"": 0.03992899879813194, ""vwap"": 0.03932600095868111, ""bb_mid"": 0.03805999830365181, ""ema_50"": 0.03456500172615051, ""bb_lower"": 0.034136999398469925, ""sma_20"": 0.03044299967586994}"
2026-07-28T05:57:47.727843+00:00,5,5,0.03,400,586,105,37.20675039382193,49.12124479307141,35.145714285714455,-5.8642601238729535,0.49523809523809526,0.5047619047619047,"{""atr_14"": 0.05386599898338318, ""regime_rsi_14"": 0.05276300013065338, ""bb_upper"": 0.048114001750946045, ""regime_close_vs_ema50"": 0.047175999730825424, ""stoch_d"": 0.04668800160288811, ""macd_signal"": 0.045419998466968536, ""macd"": 0.0450269989669323, ""bb_lower"": 0.043150000274181366, ""close_lag_1"": 0.03974499925971031, ""close_lag_3"": 0.03750300034880638, ""bb_width"": 0.03735300153493881, ""macd_hist"": 0.035801999270915985, ""ema_21"": 0.03515300154685974, ""bb_mid"": 0.03507399931550026, ""obv"": 0.03497600182890892}","{""bb_mid"": 0.07312799990177155, ""sma_20"": 0.05607600137591362, ""vwap"": 0.05499500036239624, ""ema_21"": 0.052531998604536057, ""regime_close_vs_ema50"": 0.050655998289585114, ""regime_rsi_14"": 0.04791799932718277, ""close_lag_2"": 0.04044000059366226, ""ema_9"": 0.040355000644922256, ""macd"": 0.03756000101566315, ""obv"": 0.03480200096964836, ""close_lag_10"": 0.03300299867987633, ""bb_lower"": 0.032600998878479004, ""bb_upper"": 0.0317390002310276, ""ema_50"": 0.029711000621318817, ""close_lag_5"": 0.027526000514626503}"
2026-07-28T05:59:00.306989+00:00,10,4,0.05,300,577,104,55.29833615416486,71.8574038314662,48.552884615384755,-13.892998515360503,0.49038461538461536,0.4807692307692308,"{""macd_signal"": 0.08118599653244019, ""macd"": 0.06687899678945541, ""ema_9"": 0.06678199768066406, ""volatility_15"": 0.05274499952793121, ""bb_upper"": 0.0493680015206337, ""obv"": 0.04603999853134155, ""bb_width"": 0.04494800046086311, ""bb_lower"": 0.044314999133348465, ""vwap"": 0.04377000033855438, ""regime_rsi_14"": 0.04217100143432617, ""stoch_d"": 0.04084299877285957, ""macd_hist"": 0.03962799906730652, ""atr_14"": 0.03618299961090088, ""stoch_k"": 0.0327019989490509, ""ema_50"": 0.032590001821517944}","{""bb_upper"": 0.07515499740839005, ""regime_close_vs_ema50"": 0.060809001326560974, ""macd"": 0.05068200081586838, ""close_lag_1"": 0.04872500151395798, ""close_lag_2"": 0.047488998621702194, ""obv"": 0.04598499834537506, ""close_lag_3"": 0.04464099928736687, ""vwap"": 0.04169100150465965, ""regime_rsi_14"": 0.04114999994635582, ""ema_50"": 0.03641900047659874, ""ema_9"": 0.03539599850773811, ""bb_lower"": 0.035169001668691635, ""close_lag_10"": 0.0347989983856678, ""ema_21"": 0.03387099876999855, ""macd_hist"": 0.032253000885248184}"
2026-07-28T06:01:00.817807+00:00,10,5,0.03,400,577,104,60.91340793411291,74.38477137945979,49.68365384615397,-22.602512534066044,0.49038461538461536,0.5096153846153846,"{""close_lag_5"": 0.06858699768781662, ""volatility_15"": 0.06746699661016464, ""close_lag_10"": 0.06140799820423126, ""ema_9"": 0.05383799970149994, ""bb_upper"": 0.05249800160527229, ""macd"": 0.05001499876379967, ""macd_signal"": 0.04795600101351738, ""vwap"": 0.04714899882674217, ""obv"": 0.044877998530864716, ""regime_rsi_14"": 0.042263999581336975, ""bb_width"": 0.0418890006840229, ""macd_hist"": 0.03815300017595291, ""close_lag_1"": 0.036577001214027405, ""ema_21"": 0.03652200102806091, ""regime_close_vs_ema50"": 0.03527799993753433}","{""bb_upper"": 0.07209700345993042, ""bb_mid"": 0.05795399844646454, ""regime_close_vs_ema50"": 0.05647600069642067, ""vwap"": 0.055966999381780624, ""ema_21"": 0.044190000742673874, ""close_lag_1"": 0.04342599958181381, ""obv"": 0.04162399843335152, ""ema_9"": 0.04158499836921692, ""bb_lower"": 0.040272001177072525, ""sma_20"": 0.04019699990749359, ""regime_rsi_14"": 0.038766998797655106, ""macd"": 0.03867499902844429, ""close_lag_3"": 0.037950001657009125, ""macd_hist"": 0.036657001823186874, ""ema_50"": 0.03641900047659874}"
2026-07-28T06:03:00.218744+00:00,15,4,0.05,300,568,103,70.98449995488808,86.49861007869494,65.65339805825266,-8.12007002578185,0.5339805825242718,0.5339805825242718,"{""close_lag_1"": 0.11746200174093246, ""close_lag_5"": 0.08046799898147583, ""volatility_15"": 0.07597699761390686, ""macd_signal"": 0.05047300085425377, ""ema_21"": 0.046254001557826996, ""ema_50"": 0.044495999813079834, ""vwap"": 0.04210500046610832, ""macd"": 0.038474999368190765, ""regime_rsi_14"": 0.03842400014400482, ""atr_14"": 0.03675900027155876, ""bb_mid"": 0.03585699945688248, ""bb_lower"": 0.03568200021982193, ""close_lag_2"": 0.03388899937272072, ""ema_9"": 0.033771999180316925, ""sma_20"": 0.030642999336123466}","{""close_lag_1"": 0.07180699706077576, ""ema_9"": 0.06744500249624252, ""obv"": 0.06272699683904648, ""close_lag_2"": 0.05701100081205368, ""vwap"": 0.05356400087475777, ""regime_rsi_14"": 0.05217599868774414, ""regime_close_vs_ema50"": 0.04893599823117256, ""ema_50"": 0.0428289994597435, ""ema_21"": 0.04244200140237808, ""stoch_d"": 0.041471999138593674, ""close_lag_3"": 0.040415000170469284, ""bb_lower"": 0.03952699899673462, ""close_lag_10"": 0.033601000905036926, ""rsi_14"": 0.03314200043678284, ""atr_14"": 0.03224800154566765}"
2026-07-28T06:05:00.598134+00:00,15,3,0.1,150,568,103,73.9578251132108,90.5887538804946,67.26796116504882,-9.945096941094619,0.5339805825242718,0.5048543689320388,"{""close_lag_2"": 0.14175599813461304, ""close_lag_1"": 0.07461400330066681, ""volatility_15"": 0.07315599918365479, ""macd_signal"": 0.07285799831151962, ""ema_21"": 0.05559699982404709, ""bb_upper"": 0.0462849996984005, ""ema_9"": 0.044036999344825745, ""regime_rsi_14"": 0.043570999056100845, ""ema_50"": 0.04034300148487091, ""macd"": 0.03944699838757515, ""obv"": 0.0375480018556118, ""vwap"": 0.03535899892449379, ""atr_14"": 0.031638000160455704, ""stoch_d"": 0.03134499862790108, ""bb_width"": 0.026856999844312668}","{""vwap"": 0.08555000275373459, ""ema_9"": 0.06330499798059464, ""obv"": 0.06222499907016754, ""regime_close_vs_ema50"": 0.061142001301050186, ""close_lag_3"": 0.05245500057935715, ""close_lag_2"": 0.05153600126504898, ""regime_rsi_14"": 0.046959999948740005, ""close_lag_1"": 0.04578600078821182, ""stoch_d"": 0.044610001146793365, ""atr_14"": 0.04418500140309334, ""bb_lower"": 0.03371100127696991, ""macd_hist"": 0.03352300077676773, ""macd_signal"": 0.0320889987051487, ""rsi_14"": 0.029627999290823936, ""ema_21"": 0.02901799976825714}"
